dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,446,26,12,0.9449,0.9738,0.9591
breast-w,malignant,241,215,12,26,0.9471,0.8921,0.9188
cleve,healthy,164,158,94,6,0.6270,0.9634,0.7596
cleve,sick,139,45,6,94,0.8824,0.3237,0.4737
crx,+,307,228,37,79,0.8604,0.7427,0.7972
crx,-,383,346,79,37,0.8141,0.9034,0.8564
diabetes,negative,500,448,140,52,0.7619,0.8960,0.8235
diabetes,positive,268,128,52,140,0.7111,0.4776,0.5714
german,bad,300,85,87,215,0.4942,0.2833,0.3602
german,good,700,613,215,87,0.7403,0.8757,0.8024
glass,vehicle_float,17,3,3,14,0.5000,0.1765,0.2609
glass,building_float,70,28,7,42,0.8000,0.4000,0.5333
glass,building_nonfloat,76,67,78,9,0.4621,0.8816,0.6063
glass,containers,9,5,3,4,0.6250,0.5556,0.5882
glass,vehicle_nonfloat,13,3,1,10,0.7500,0.2308,0.3529
glass,headlamps,29,14,2,15,0.8750,0.4828,0.6222
heart,absent,150,142,60,8,0.7030,0.9467,0.8068
heart,present,120,60,8,60,0.8824,0.5000,0.6383
hepatitis,DIE,32,13,7,19,0.6500,0.4063,0.5000
hepatitis,LIVE,123,116,19,7,0.8593,0.9431,0.8992
horse,lived,232,190,26,42,0.8796,0.8190,0.8482
horse,died,136,110,42,26,0.7237,0.8088,0.7639
iris,Iris-versicolor,50,48,5,2,0.9057,0.9600,0.9320
iris,Iris-virginica,50,45,1,5,0.9783,0.9000,0.9375
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
labor,bad,20,15,1,5,0.9375,0.7500,0.8333
labor,good,37,36,5,1,0.8780,0.9730,0.9231
led7,0,15,13,9,2,0.5909,0.8667,0.7027
led7,1,24,21,5,3,0.8077,0.8750,0.8400
led7,2,17,14,4,3,0.7778,0.8235,0.8000
led7,3,17,11,6,6,0.6471,0.6471,0.6471
led7,4,24,17,10,7,0.6296,0.7083,0.6667
led7,5,22,10,5,12,0.6667,0.4545,0.5405
led7,6,17,12,3,5,0.8000,0.7059,0.7500
led7,7,20,19,3,1,0.8636,0.9500,0.9048
led7,8,21,9,6,12,0.6000,0.4286,0.5000
led7,9,23,11,12,12,0.4783,0.4783,0.4783
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
lymph,metastases,81,74,36,7,0.6727,0.9136,0.7749
lymph,malign_lymph,61,31,7,30,0.8158,0.5082,0.6263
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
mushroom,p,3916,3110,0,806,1.0000,0.7942,0.8853
mushroom,e,4208,4208,806,0,0.8393,1.0000,0.9126
sonar,R,97,33,3,64,0.9167,0.3402,0.4962
sonar,M,111,108,64,3,0.6279,0.9730,0.7633
tic-tac-toe,negative,332,116,0,216,1.0000,0.3494,0.5179
tic-tac-toe,positive,626,626,216,0,0.7435,1.0000,0.8529
vehicle,bus,218,214,350,4,0.3794,0.9817,0.5473
vehicle,van,199,111,39,88,0.7400,0.5578,0.6361
vehicle,saab,217,44,30,173,0.5946,0.2028,0.3024
vehicle,opel,212,41,17,171,0.7069,0.1934,0.3037
waveform,class_0,1657,770,287,887,0.7285,0.4647,0.5674
waveform,class_2,1696,1559,1833,137,0.4596,0.9192,0.6128
waveform,class_1,1647,480,71,1167,0.8711,0.2914,0.4368
wine,class_2,71,69,17,2,0.8023,0.9718,0.8790
wine,class_1,59,51,1,8,0.9808,0.8644,0.9189
wine,class_3,48,39,1,9,0.9750,0.8125,0.8864
zoo,1,41,41,3,0,0.9318,1.0000,0.9647
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,3,5,2,1,3,0.6667,0.4000,0.5000
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,2,1,0.6000,0.7500,0.6667
zoo,6,8,7,2,1,0.7778,0.8750,0.8235
zoo,7,10,6,1,4,0.8571,0.6000,0.7059
