dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,444,24,14,0.9487,0.9694,0.9590
breast-w,malignant,241,217,14,24,0.9394,0.9004,0.9195
cleve,healthy,164,158,72,6,0.6870,0.9634,0.8020
cleve,sick,139,67,6,72,0.9178,0.4820,0.6321
crx,+,307,253,44,54,0.8519,0.8241,0.8377
crx,-,383,339,54,44,0.8626,0.8851,0.8737
diabetes,negative,500,431,115,69,0.7894,0.8620,0.8241
diabetes,positive,268,153,69,115,0.6892,0.5709,0.6245
german,bad,300,113,109,187,0.5090,0.3767,0.4330
german,good,700,591,187,109,0.7596,0.8443,0.7997
glass,vehicle_float,17,4,8,13,0.3333,0.2353,0.2759
glass,building_float,70,34,11,36,0.7556,0.4857,0.5913
glass,building_nonfloat,76,58,47,18,0.5524,0.7632,0.6409
glass,containers,9,6,7,3,0.4615,0.6667,0.5455
glass,vehicle_nonfloat,13,7,6,6,0.5385,0.5385,0.5385
glass,headlamps,29,22,4,7,0.8462,0.7586,0.8000
heart,absent,150,136,45,14,0.7514,0.9067,0.8218
heart,present,120,75,14,45,0.8427,0.6250,0.7177
hepatitis,DIE,32,16,13,16,0.5517,0.5000,0.5246
hepatitis,LIVE,123,110,16,13,0.8730,0.8943,0.8835
horse,lived,232,190,26,42,0.8796,0.8190,0.8482
horse,died,136,110,42,26,0.7237,0.8088,0.7639
iris,Iris-versicolor,50,48,6,2,0.8889,0.9600,0.9231
iris,Iris-virginica,50,44,1,6,0.9778,0.8800,0.9263
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
labor,bad,20,17,8,3,0.6800,0.8500,0.7556
labor,good,37,29,3,8,0.9063,0.7838,0.8406
led7,0,15,14,7,1,0.6667,0.9333,0.7778
led7,1,24,20,3,4,0.8696,0.8333,0.8511
led7,2,17,15,7,2,0.6818,0.8824,0.7692
led7,3,17,13,5,4,0.7222,0.7647,0.7429
led7,4,24,20,10,4,0.6667,0.8333,0.7407
led7,5,22,11,3,11,0.7857,0.5000,0.6111
led7,6,17,12,3,5,0.8000,0.7059,0.7500
led7,7,20,20,4,0,0.8333,1.0000,0.9091
led7,8,21,9,5,12,0.6429,0.4286,0.5143
led7,9,23,11,8,12,0.5789,0.4783,0.5238
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
lymph,metastases,81,64,24,17,0.7273,0.7901,0.7574
lymph,malign_lymph,61,41,19,20,0.6833,0.6721,0.6777
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
mushroom,p,3916,3595,0,321,1.0000,0.9180,0.9573
mushroom,e,4208,4208,321,0,0.9291,1.0000,0.9633
sonar,R,97,59,13,38,0.8194,0.6082,0.6982
sonar,M,111,98,38,13,0.7206,0.8829,0.7935
tic-tac-toe,negative,332,318,1,14,0.9969,0.9578,0.9770
tic-tac-toe,positive,626,625,14,1,0.9781,0.9984,0.9881
vehicle,bus,218,210,236,8,0.4709,0.9633,0.6325
vehicle,van,199,164,59,35,0.7354,0.8241,0.7773
vehicle,saab,217,59,48,158,0.5514,0.2719,0.3642
vehicle,opel,212,45,25,167,0.6429,0.2123,0.3191
waveform,class_0,1657,911,282,746,0.7636,0.5498,0.6393
waveform,class_2,1696,1522,1293,174,0.5407,0.8974,0.6748
waveform,class_1,1647,846,146,801,0.8528,0.5137,0.6412
wine,class_2,71,65,7,6,0.9028,0.9155,0.9091
wine,class_1,59,53,5,6,0.9138,0.8983,0.9060
wine,class_3,48,46,2,2,0.9583,0.9583,0.9583
zoo,1,41,40,1,1,0.9756,0.9756,0.9756
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,3,5,4,3,1,0.5714,0.8000,0.6667
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,0,1,1.0000,0.7500,0.8571
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
