dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,443,21,15,0.9547,0.9672,0.9610
breast-w,malignant,241,220,15,21,0.9362,0.9129,0.9244
cleve,healthy,164,159,79,5,0.6681,0.9695,0.7910
cleve,sick,139,60,5,79,0.9231,0.4317,0.5882
crx,+,307,246,40,61,0.8601,0.8013,0.8297
crx,-,383,343,61,40,0.8490,0.8956,0.8717
diabetes,negative,500,448,137,52,0.7658,0.8960,0.8258
diabetes,positive,268,131,52,137,0.7158,0.4888,0.5809
german,bad,300,100,105,200,0.4878,0.3333,0.3960
german,good,700,595,200,105,0.7484,0.8500,0.7960
glass,vehicle_float,17,3,6,14,0.3333,0.1765,0.2308
glass,building_float,70,34,9,36,0.7907,0.4857,0.6018
glass,building_nonfloat,76,63,58,13,0.5207,0.8289,0.6396
glass,containers,9,6,4,3,0.6000,0.6667,0.6316
glass,vehicle_nonfloat,13,6,3,7,0.6667,0.4615,0.5455
glass,headlamps,29,19,3,10,0.8636,0.6552,0.7451
heart,absent,150,137,52,13,0.7249,0.9133,0.8083
heart,present,120,68,13,52,0.8395,0.5667,0.6766
hepatitis,DIE,32,14,10,18,0.5833,0.4375,0.5000
hepatitis,LIVE,123,113,18,10,0.8626,0.9187,0.8898
horse,lived,232,190,26,42,0.8796,0.8190,0.8482
horse,died,136,110,42,26,0.7237,0.8088,0.7639
iris,Iris-versicolor,50,48,6,2,0.8889,0.9600,0.9231
iris,Iris-virginica,50,44,1,6,0.9778,0.8800,0.9263
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
labor,bad,20,17,6,3,0.7391,0.8500,0.7907
labor,good,37,31,3,6,0.9118,0.8378,0.8732
led7,0,15,14,8,1,0.6364,0.9333,0.7568
led7,1,24,20,3,4,0.8696,0.8333,0.8511
led7,2,17,15,5,2,0.7500,0.8824,0.8108
led7,3,17,13,7,4,0.6500,0.7647,0.7027
led7,4,24,20,10,4,0.6667,0.8333,0.7407
led7,5,22,11,3,11,0.7857,0.5000,0.6111
led7,6,17,12,3,5,0.8000,0.7059,0.7500
led7,7,20,19,4,1,0.8261,0.9500,0.8837
led7,8,21,9,5,12,0.6429,0.4286,0.5143
led7,9,23,11,8,12,0.5789,0.4783,0.5238
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
lymph,metastases,81,64,28,17,0.6957,0.7901,0.7399
lymph,malign_lymph,61,39,17,22,0.6964,0.6393,0.6667
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
mushroom,p,3916,3595,0,321,1.0000,0.9180,0.9573
mushroom,e,4208,4208,321,0,0.9291,1.0000,0.9633
sonar,R,97,53,9,44,0.8548,0.5464,0.6667
sonar,M,111,102,44,9,0.6986,0.9189,0.7938
tic-tac-toe,negative,332,253,0,79,1.0000,0.7620,0.8650
tic-tac-toe,positive,626,626,79,0,0.8879,1.0000,0.9406
vehicle,bus,218,211,274,7,0.4351,0.9679,0.6003
vehicle,van,199,144,56,55,0.7200,0.7236,0.7218
vehicle,saab,217,54,40,163,0.5745,0.2488,0.3473
vehicle,opel,212,44,23,168,0.6567,0.2075,0.3154
waveform,class_0,1657,857,271,800,0.7598,0.5172,0.6154
waveform,class_2,1696,1553,1491,143,0.5102,0.9157,0.6553
waveform,class_1,1647,713,115,934,0.8611,0.4329,0.5762
wine,class_2,71,65,8,6,0.8904,0.9155,0.9028
wine,class_1,59,52,4,7,0.9286,0.8814,0.9043
wine,class_3,48,47,2,1,0.9592,0.9792,0.9691
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,3,5,3,3,2,0.5000,0.6000,0.5455
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,0,1,1.0000,0.7500,0.8571
zoo,6,8,8,2,0,0.8000,1.0000,0.8889
zoo,7,10,7,0,3,1.0000,0.7000,0.8235
