dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,0.02,,0.9457,0.0337,0.9390,0.0389,0.9452
cleve,303,0.02,,0.6702,0.0472,0.6166,0.0696,0.6284
crx,690,0.04,,0.8323,0.0591,0.8268,0.0663,0.8301
diabetes,768,0.03,,0.7499,0.0492,0.6975,0.0663,0.7356
german,1000,0.06,,0.6980,0.0360,0.5813,0.0741,0.6697
glass,214,0.01,,0.5635,0.1029,0.4940,0.1162,0.5410
heart,270,0.03,,0.7481,0.0637,0.7226,0.0834,0.7319
hepatitis,155,0.05,,0.8310,0.0547,0.6996,0.1350,0.8168
horse,368,0.03,,0.8153,0.0733,0.8061,0.0721,0.8171
iris,150,0.03,,0.9533,0.0427,0.9532,0.0430,0.9532
labor,57,0.05,,0.8967,0.1130,0.8782,0.1825,0.8916
led7,200,0.03,,0.6883,0.0590,0.6830,0.0916,0.6777
lymph,148,0.05,,0.7124,0.0602,0.3503,0.1581,0.6822
mushroom,8124,0.15,,0.9008,0.0115,0.8989,0.0120,0.8994
sonar,208,0.05,,0.6789,0.0839,0.6297,0.1031,0.6387
tic-tac-toe,958,0.003,,0.7745,0.0265,0.6854,0.0493,0.7368
vehicle,846,0.03,,0.4846,0.0538,0.4474,0.0560,0.4443
waveform,5000,0.01,,0.5618,0.0290,0.5390,0.0369,0.5398
wine,178,0.03,,0.8940,0.0676,0.8948,0.0674,0.8942
zoo,101,0.03,,0.9137,0.0957,0.8087,0.2019,0.9046
