dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,66,22,15,0.7500,0.8148,0.7811
lymph,malign_lymph,61,44,16,17,0.7333,0.7213,0.7273
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,57,51,19,0.5278,0.7500,0.6196
glass,building_float,70,38,7,32,0.8444,0.5429,0.6609
glass,vehicle_float,17,4,10,13,0.2857,0.2353,0.2581
glass,headlamps,29,16,4,13,0.8000,0.5517,0.6531
glass,vehicle_nonfloat,13,8,6,5,0.5714,0.6154,0.5926
glass,containers,9,6,7,3,0.4615,0.6667,0.5455
vehicle,van,199,136,74,63,0.6476,0.6834,0.6650
vehicle,bus,218,200,211,18,0.4866,0.9174,0.6359
vehicle,saab,217,60,63,157,0.4878,0.2765,0.3529
vehicle,opel,212,49,53,163,0.4804,0.2311,0.3121
hepatitis,LIVE,123,114,15,9,0.8837,0.9268,0.9048
hepatitis,DIE,32,17,9,15,0.6538,0.5313,0.5862
german,good,700,583,179,117,0.7651,0.8329,0.7975
german,bad,300,121,117,179,0.5084,0.4033,0.4498
