dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,65,17,16,0.7927,0.8025,0.7975
lymph,malign_lymph,61,41,15,20,0.7321,0.6721,0.7009
lymph,fibrosis,4,3,7,1,0.3000,0.7500,0.4286
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,58,52,18,0.5273,0.7632,0.6237
glass,building_float,70,39,7,31,0.8478,0.5571,0.6724
glass,vehicle_float,17,3,8,14,0.2727,0.1765,0.2143
glass,headlamps,29,16,4,13,0.8000,0.5517,0.6531
glass,vehicle_nonfloat,13,8,6,5,0.5714,0.6154,0.5926
glass,containers,9,6,7,3,0.4615,0.6667,0.5455
vehicle,van,199,153,73,46,0.6770,0.7688,0.7200
vehicle,bus,218,210,211,8,0.4988,0.9633,0.6573
vehicle,saab,217,59,47,158,0.5566,0.2719,0.3653
vehicle,opel,212,49,44,163,0.5269,0.2311,0.3213
hepatitis,LIVE,123,116,16,7,0.8788,0.9431,0.9098
hepatitis,DIE,32,16,7,16,0.6957,0.5000,0.5818
german,good,700,595,173,105,0.7747,0.8500,0.8106
german,bad,300,127,105,173,0.5474,0.4233,0.4774
