dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,0.02,,0.9485,0.0214,0.9427,0.0239,0.9483
cleve,303,0.02,,0.7225,0.0457,0.6896,0.0593,0.6980
crx,690,0.04,,0.8541,0.0522,0.8507,0.0548,0.8530
diabetes,768,0.03,,0.7538,0.0556,0.7034,0.0759,0.7404
german,1000,0.06,,0.6950,0.0377,0.5960,0.0781,0.6760
glass,214,0.01,,0.6119,0.0845,0.5657,0.1072,0.6030
heart,270,0.03,,0.7593,0.0688,0.7424,0.0846,0.7498
hepatitis,155,0.05,,0.8185,0.0722,0.6949,0.1428,0.8093
horse,368,0.03,,0.8153,0.0733,0.8061,0.0721,0.8171
iris,150,0.03,,0.9467,0.0499,0.9465,0.0510,0.9465
labor,57,0.05,,0.8467,0.2040,0.8320,0.2289,0.8443
led7,200,0.03,,0.7225,0.0409,0.7145,0.0643,0.7100
lymph,148,0.05,,0.7000,0.0892,0.3516,0.1689,0.6797
mushroom,8124,0.15,,0.9605,0.0069,0.9603,0.0070,0.9604
sonar,208,0.05,,0.7460,0.0842,0.7302,0.0871,0.7345
tic-tac-toe,958,0.003,,0.9176,0.0200,0.9028,0.0255,0.9144
vehicle,846,0.03,,0.5355,0.0481,0.4962,0.0499,0.4926
waveform,5000,0.01,,0.6246,0.0265,0.6156,0.0311,0.6160
wine,178,0.03,,0.9218,0.0508,0.9254,0.0484,0.9212
zoo,101,0.03,,0.9334,0.1093,0.8684,0.1808,0.9309
