dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,67,27,14,0.7128,0.8272,0.7657
lymph,malign_lymph,61,39,15,22,0.7222,0.6393,0.6783
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,60,61,16,0.4959,0.7895,0.6091
glass,building_float,70,34,6,36,0.8500,0.4857,0.6182
glass,vehicle_float,17,3,6,14,0.3333,0.1765,0.2308
glass,headlamps,29,16,5,13,0.7619,0.5517,0.6400
glass,vehicle_nonfloat,13,5,6,8,0.4545,0.3846,0.4167
glass,containers,9,6,6,3,0.5000,0.6667,0.5714
vehicle,van,199,119,72,80,0.6230,0.5980,0.6103
vehicle,bus,218,200,240,18,0.4545,0.9174,0.6079
vehicle,saab,217,56,58,161,0.4912,0.2581,0.3384
vehicle,opel,212,49,52,163,0.4851,0.2311,0.3131
hepatitis,LIVE,123,113,14,10,0.8898,0.9187,0.9040
hepatitis,DIE,32,18,10,14,0.6429,0.5625,0.6000
german,good,700,590,181,110,0.7652,0.8429,0.8022
german,bad,300,119,110,181,0.5197,0.3967,0.4499
