dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,65,12,16,0.8442,0.8025,0.8228
lymph,malign_lymph,61,46,16,15,0.7419,0.7541,0.7480
lymph,fibrosis,4,3,6,1,0.3333,0.7500,0.4615
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,53,40,23,0.5699,0.6974,0.6272
glass,building_float,70,38,11,32,0.7755,0.5429,0.6387
glass,vehicle_float,17,4,9,13,0.3077,0.2353,0.2667
glass,headlamps,29,22,5,7,0.8148,0.7586,0.7857
glass,vehicle_nonfloat,13,10,6,3,0.6250,0.7692,0.6897
glass,containers,9,7,9,2,0.4375,0.7778,0.5600
vehicle,van,199,165,80,34,0.6735,0.8291,0.7432
vehicle,bus,218,209,150,9,0.5822,0.9587,0.7244
vehicle,saab,217,81,64,136,0.5586,0.3733,0.4475
vehicle,opel,212,54,43,158,0.5567,0.2547,0.3495
hepatitis,LIVE,123,113,15,10,0.8828,0.9187,0.9004
hepatitis,DIE,32,17,10,15,0.6296,0.5313,0.5763
german,good,700,589,158,111,0.7885,0.8414,0.8141
german,bad,300,142,111,158,0.5613,0.4733,0.5136
