dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,0.02,,0.9457,0.0210,0.9392,0.0234,0.9454
cleve,303,0.02,,0.7425,0.0460,0.7171,0.0603,0.7241
crx,690,0.04,,0.8584,0.0491,0.8557,0.0508,0.8577
diabetes,768,0.03,,0.7604,0.0537,0.7243,0.0640,0.7544
german,1000,0.06,,0.7040,0.0395,0.6163,0.0705,0.6897
glass,214,0.01,,0.6121,0.0759,0.5653,0.0777,0.6070
heart,270,0.03,,0.7815,0.0711,0.7697,0.0851,0.7755
hepatitis,155,0.05,,0.8126,0.0739,0.7041,0.1186,0.8094
horse,368,0.03,,0.8153,0.0733,0.8061,0.0721,0.8171
iris,150,0.03,,0.9467,0.0499,0.9465,0.0510,0.9465
labor,57,0.05,,0.8133,0.1893,0.7981,0.2136,0.8107
led7,200,0.03,,0.7287,0.0398,0.7190,0.0617,0.7140
lymph,148,0.05,,0.7122,0.0861,0.3588,0.1613,0.6938
mushroom,8124,0.15,,0.9605,0.0069,0.9603,0.0070,0.9604
sonar,208,0.05,,0.7554,0.0814,0.7459,0.0842,0.7491
tic-tac-toe,958,0.003,,0.9843,0.0085,0.9826,0.0095,0.9843
vehicle,846,0.03,,0.5653,0.0493,0.5233,0.0511,0.5192
waveform,5000,0.01,,0.6558,0.0312,0.6517,0.0343,0.6519
wine,178,0.03,,0.9218,0.0565,0.9245,0.0555,0.9213
zoo,101,0.03,,0.9650,0.0825,0.9210,0.1065,0.9627
