dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,65,21,16,0.7558,0.8025,0.7784
lymph,malign_lymph,61,36,14,25,0.7200,0.5902,0.6486
lymph,fibrosis,4,3,9,1,0.2500,0.7500,0.3750
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,59,63,17,0.4836,0.7763,0.5960
glass,building_float,70,34,6,36,0.8500,0.4857,0.6182
glass,vehicle_float,17,1,7,16,0.1250,0.0588,0.0800
glass,headlamps,29,16,5,13,0.7619,0.5517,0.6400
glass,vehicle_nonfloat,13,5,6,8,0.4545,0.3846,0.4167
glass,containers,9,6,6,3,0.5000,0.6667,0.5714
vehicle,van,199,131,72,68,0.6453,0.6583,0.6517
vehicle,bus,218,210,262,8,0.4449,0.9633,0.6087
vehicle,saab,217,54,36,163,0.6000,0.2488,0.3518
vehicle,opel,212,47,34,165,0.5802,0.2217,0.3208
hepatitis,LIVE,123,117,18,6,0.8667,0.9512,0.9070
hepatitis,DIE,32,14,6,18,0.7000,0.4375,0.5385
german,good,700,604,194,96,0.7569,0.8629,0.8064
german,bad,300,106,96,194,0.5248,0.3533,0.4223
