dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,benign,458,440,11,18,0.9756,0.9607,0.9681
breast-w,malignant,241,230,18,11,0.9274,0.9544,0.9407
cleve,healthy,164,137,25,27,0.8457,0.8354,0.8405
cleve,sick,139,114,27,25,0.8085,0.8201,0.8143
crx,+,307,272,60,35,0.8193,0.8860,0.8513
crx,-,383,323,35,60,0.9022,0.8433,0.8718
diabetes,positive,268,202,127,66,0.6140,0.7537,0.6767
diabetes,negative,500,373,66,127,0.8497,0.7460,0.7945
german,good,700,579,147,121,0.7975,0.8271,0.8121
german,bad,300,153,121,147,0.5584,0.5100,0.5331
glass,building_nonfloat,76,40,11,36,0.7843,0.5263,0.6299
glass,building_float,70,46,16,24,0.7419,0.6571,0.6970
glass,vehicle_float,17,7,21,10,0.2500,0.4118,0.3111
glass,headlamps,29,26,7,3,0.7879,0.8966,0.8387
glass,vehicle_nonfloat,13,10,8,3,0.5556,0.7692,0.6452
glass,containers,9,9,13,0,0.4091,1.0000,0.5806
heart,absent,150,126,20,24,0.8630,0.8400,0.8514
heart,present,120,100,24,20,0.8065,0.8333,0.8197
hepatitis,LIVE,123,93,6,30,0.9394,0.7561,0.8378
hepatitis,DIE,32,26,30,6,0.4643,0.8125,0.5909
horse,lived,232,180,21,52,0.8955,0.7759,0.8314
horse,died,136,115,52,21,0.6886,0.8456,0.7591
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
iris,Iris-virginica,50,44,0,6,1.0000,0.8800,0.9362
iris,Iris-versicolor,50,49,6,1,0.8909,0.9800,0.9333
labor,good,37,27,0,10,1.0000,0.7297,0.8437
labor,bad,20,20,10,0,0.6667,1.0000,0.8000
led7,5,22,10,3,12,0.7692,0.4545,0.5714
led7,1,24,20,3,4,0.8696,0.8333,0.8511
led7,7,20,19,3,1,0.8636,0.9500,0.9048
led7,9,23,11,6,12,0.6471,0.4783,0.5500
led7,4,24,19,12,5,0.6129,0.7917,0.6909
led7,3,17,12,7,5,0.6316,0.7059,0.6667
led7,2,17,16,5,1,0.7619,0.9412,0.8421
led7,8,21,7,6,14,0.5385,0.3333,0.4118
led7,0,15,15,11,0,0.5769,1.0000,0.7317
led7,6,17,12,3,5,0.8000,0.7059,0.7500
lymph,metastases,81,68,8,13,0.8947,0.8395,0.8662
lymph,malign_lymph,61,56,16,5,0.7778,0.9180,0.8421
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
mushroom,p,3916,3800,9,116,0.9976,0.9704,0.9838
mushroom,e,4208,4199,116,9,0.9731,0.9979,0.9853
sonar,M,111,90,13,21,0.8738,0.8108,0.8411
sonar,R,97,84,21,13,0.8000,0.8660,0.8317
tic-tac-toe,positive,626,587,7,39,0.9882,0.9377,0.9623
tic-tac-toe,negative,332,325,39,7,0.8929,0.9789,0.9339
vehicle,van,199,196,96,3,0.6712,0.9849,0.7984
vehicle,bus,218,210,52,8,0.8015,0.9633,0.8750
vehicle,saab,217,103,82,114,0.5568,0.4747,0.5124
vehicle,opel,212,65,42,147,0.6075,0.3066,0.4075
waveform,class_0,1657,1291,238,366,0.8443,0.7791,0.8104
waveform,class_1,1647,1417,281,230,0.8345,0.8604,0.8472
waveform,class_2,1696,1483,290,213,0.8364,0.8744,0.8550
wine,class_2,71,64,1,7,0.9846,0.9014,0.9412
wine,class_3,48,48,4,0,0.9231,1.0000,0.9600
wine,class_1,59,58,3,1,0.9508,0.9831,0.9667
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,38,1,3,0.9744,0.9268,0.9500
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,8,1,2,0.8889,0.8000,0.8421
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,4,1,0.4286,0.7500,0.5455
zoo,3,5,3,1,2,0.7500,0.6000,0.6667
