dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,68,9,13,0.8831,0.8395,0.8608
lymph,malign_lymph,61,55,16,6,0.7746,0.9016,0.8333
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,43,13,33,0.7679,0.5658,0.6515
glass,building_float,70,52,24,18,0.6842,0.7429,0.7123
glass,vehicle_float,17,3,10,14,0.2308,0.1765,0.2000
glass,headlamps,29,26,10,3,0.7222,0.8966,0.8000
glass,vehicle_nonfloat,13,11,4,2,0.7333,0.8462,0.7857
glass,containers,9,7,11,2,0.3889,0.7778,0.5185
vehicle,van,199,196,94,3,0.6759,0.9849,0.8016
vehicle,bus,218,210,53,8,0.7985,0.9633,0.8732
vehicle,saab,217,105,83,112,0.5585,0.4839,0.5185
vehicle,opel,212,64,41,148,0.6095,0.3019,0.4038
hepatitis,LIVE,123,107,12,16,0.8992,0.8699,0.8843
hepatitis,DIE,32,20,16,12,0.5556,0.6250,0.5882
german,good,700,612,170,88,0.7826,0.8743,0.8259
german,bad,300,130,88,170,0.5963,0.4333,0.5019
