dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,64,23,17,0.7356,0.7901,0.7619
lymph,malign_lymph,61,34,13,27,0.7234,0.5574,0.6296
lymph,fibrosis,4,4,10,0,0.2857,1.0000,0.4444
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,63,77,13,0.4500,0.8289,0.5833
glass,building_float,70,30,4,40,0.8824,0.4286,0.5769
glass,vehicle_float,17,1,4,16,0.2000,0.0588,0.0909
glass,headlamps,29,11,5,18,0.6875,0.3793,0.4889
glass,vehicle_nonfloat,13,5,5,8,0.5000,0.3846,0.4348
glass,containers,9,5,4,4,0.5556,0.5556,0.5556
vehicle,van,199,105,67,94,0.6105,0.5276,0.5660
vehicle,bus,218,211,307,7,0.4073,0.9679,0.5734
vehicle,saab,217,51,30,166,0.6296,0.2350,0.3423
vehicle,opel,212,43,32,169,0.5733,0.2028,0.2997
hepatitis,LIVE,123,117,19,6,0.8603,0.9512,0.9035
hepatitis,DIE,32,13,6,19,0.6842,0.4063,0.5098
german,good,700,622,216,78,0.7422,0.8886,0.8088
german,bad,300,84,78,216,0.5185,0.2800,0.3636
