dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,65,16,16,0.8025,0.8025,0.8025
lymph,malign_lymph,61,50,17,11,0.7463,0.8197,0.7813
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,53,40,23,0.5699,0.6974,0.6272
glass,building_float,70,38,11,32,0.7755,0.5429,0.6387
glass,vehicle_float,17,4,9,13,0.3077,0.2353,0.2667
glass,headlamps,29,22,5,7,0.8148,0.7586,0.7857
glass,vehicle_nonfloat,13,10,6,3,0.6250,0.7692,0.6897
glass,containers,9,7,9,2,0.4375,0.7778,0.5600
vehicle,van,199,156,79,43,0.6638,0.7839,0.7189
vehicle,bus,218,200,175,18,0.5333,0.9174,0.6745
vehicle,saab,217,66,63,151,0.5116,0.3041,0.3815
vehicle,opel,212,55,52,157,0.5140,0.2594,0.3448
hepatitis,LIVE,123,112,14,11,0.8889,0.9106,0.8996
hepatitis,DIE,32,18,11,14,0.6207,0.5625,0.5902
german,good,700,574,163,126,0.7788,0.8200,0.7989
german,bad,300,137,126,163,0.5209,0.4567,0.4867
