dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,67,31,14,0.6837,0.8272,0.7486
lymph,malign_lymph,61,36,14,25,0.7200,0.5902,0.6486
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
glass,building_nonfloat,76,63,77,13,0.4500,0.8289,0.5833
glass,building_float,70,30,4,40,0.8824,0.4286,0.5769
glass,vehicle_float,17,1,4,16,0.2000,0.0588,0.0909
glass,headlamps,29,11,5,18,0.6875,0.3793,0.4889
glass,vehicle_nonfloat,13,5,5,8,0.5000,0.3846,0.4348
glass,containers,9,5,4,4,0.5556,0.5556,0.5556
vehicle,van,199,96,60,103,0.6154,0.4824,0.5408
vehicle,bus,218,201,289,17,0.4102,0.9220,0.5678
vehicle,saab,217,54,52,163,0.5094,0.2488,0.3344
vehicle,opel,212,47,47,165,0.5000,0.2217,0.3072
hepatitis,LIVE,123,115,16,8,0.8779,0.9350,0.9055
hepatitis,DIE,32,16,8,16,0.6667,0.5000,0.5714
german,good,700,593,191,107,0.7564,0.8471,0.7992
german,bad,300,109,107,191,0.5046,0.3633,0.4225
