dataset,class,support,tp,fp,fn,precision,recall,f1
german,good,700,612,170,88,0.7826,0.8743,0.8259
german,bad,300,130,88,170,0.5963,0.4333,0.5019
glass,building_nonfloat,76,43,13,33,0.7679,0.5658,0.6515
glass,building_float,70,52,24,18,0.6842,0.7429,0.7123
glass,vehicle_float,17,3,10,14,0.2308,0.1765,0.2000
glass,headlamps,29,26,10,3,0.7222,0.8966,0.8000
glass,vehicle_nonfloat,13,11,4,2,0.7333,0.8462,0.7857
glass,containers,9,7,11,2,0.3889,0.7778,0.5185
hepatitis,LIVE,123,107,12,16,0.8992,0.8699,0.8843
hepatitis,DIE,32,20,16,12,0.5556,0.6250,0.5882
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
iris,Iris-virginica,50,44,0,6,1.0000,0.8800,0.9362
iris,Iris-versicolor,50,49,6,1,0.8909,0.9800,0.9333
lymph,metastases,81,68,9,13,0.8831,0.8395,0.8608
lymph,malign_lymph,61,55,16,6,0.7746,0.9016,0.8333
lymph,fibrosis,4,0,0,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
wine,class_2,71,64,1,7,0.9846,0.9014,0.9412
wine,class_3,48,48,4,0,0.9231,1.0000,0.9600
wine,class_1,59,58,3,1,0.9508,0.9831,0.9667
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,7,10,9,1,1,0.9000,0.9000,0.9000
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,1,2,0.7500,0.6000,0.6667
